Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES","COMMODITY TOTALS, RETAIL, HUMAN CONSUMPTION - OPERATIONS WITH SALES","COMMODITY TOTALS, OPERATIONS WITH SALES","COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $","COMMODITY TOTALS, RETAIL, HUMAN CONSUMPTION - SALES, MEASURED IN $","COMMODITY TOTALS, SALES, MEASURED IN $",Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",59,,59,,,,TOTAL,NOT SPECIFIED,59,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1275000,,1275000,TOTAL,NOT SPECIFIED,"1,275,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",105,,105,,,,TOTAL,NOT SPECIFIED,105,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,2613000,,2613000,TOTAL,NOT SPECIFIED,"2,613,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",127,,127,,,,TOTAL,NOT SPECIFIED,127,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,12098000,,12098000,TOTAL,NOT SPECIFIED,"12,098,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",20,,20,,,,TOTAL,NOT SPECIFIED,20,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,116000,,116000,TOTAL,NOT SPECIFIED,"116,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,SCHOHARIE,95,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",104,,104,,,,TOTAL,NOT SPECIFIED,104,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,SCHOHARIE,95,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,2725000,,2725000,TOTAL,NOT SPECIFIED,"2,725,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,WASHINGTON,115,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",135,,135,,,,TOTAL,NOT SPECIFIED,135,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,EASTERN,60,WASHINGTON,115,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,3761000,,3761000,TOTAL,NOT SPECIFIED,"3,761,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,LONG ISLAND,91,KINGS,47,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",5,,5,,,,TOTAL,NOT SPECIFIED,5,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,LONG ISLAND,91,KINGS,47,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,725000,,725000,TOTAL,NOT SPECIFIED,"725,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,LONG ISLAND,91,NASSAU,59,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",5,,5,,,,TOTAL,NOT SPECIFIED,5,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,LONG ISLAND,91,NASSAU,59,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,582000,,582000,TOTAL,NOT SPECIFIED,"582,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,LONG ISLAND,91,QUEENS,81,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",14,,14,,,,TOTAL,NOT SPECIFIED,14,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,LONG ISLAND,91,QUEENS,81,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,189000,,189000,TOTAL,NOT SPECIFIED,"189,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,LONG ISLAND,91,SUFFOLK,103,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",151,,151,,,,TOTAL,NOT SPECIFIED,151,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,LONG ISLAND,91,SUFFOLK,103,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,50016000,,50016000,TOTAL,NOT SPECIFIED,"50,016,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,CLINTON,19,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",92,,92,,,,TOTAL,NOT SPECIFIED,92,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,CLINTON,19,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1197000,,1197000,TOTAL,NOT SPECIFIED,"1,197,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,ESSEX,31,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",71,,71,,,,TOTAL,NOT SPECIFIED,71,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,ESSEX,31,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1517000,,1517000,TOTAL,NOT SPECIFIED,"1,517,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,FRANKLIN,33,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",71,,71,,,,TOTAL,NOT SPECIFIED,71,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,FRANKLIN,33,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,461000,,461000,TOTAL,NOT SPECIFIED,"461,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,HAMILTON,41,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",8,,8,,,,TOTAL,NOT SPECIFIED,8,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,HAMILTON,41,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,41000,,41000,TOTAL,NOT SPECIFIED,"41,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,WARREN,113,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",18,,18,,,,TOTAL,NOT SPECIFIED,18,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,WARREN,113,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,113000,,113000,TOTAL,NOT SPECIFIED,"113,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHERN,20,JEFFERSON,45,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",93,,93,,,,TOTAL,NOT SPECIFIED,93,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHERN,20,JEFFERSON,45,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,11995000,,11995000,TOTAL,NOT SPECIFIED,"11,995,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHERN,20,LEWIS,49,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",92,,92,,,,TOTAL,NOT SPECIFIED,92,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHERN,20,LEWIS,49,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,836000,,836000,TOTAL,NOT SPECIFIED,"836,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHERN,20,ST LAWRENCE,89,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",131,,131,,,,TOTAL,NOT SPECIFIED,131,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,NORTHERN,20,ST LAWRENCE,89,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1389000,,1389000,TOTAL,NOT SPECIFIED,"1,389,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,COLUMBIA,21,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",114,,114,,,,TOTAL,NOT SPECIFIED,114,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,COLUMBIA,21,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,10394000,,10394000,TOTAL,NOT SPECIFIED,"10,394,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,DELAWARE,25,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",124,,124,,,,TOTAL,NOT SPECIFIED,124,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,DELAWARE,25,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1935000,,1935000,TOTAL,NOT SPECIFIED,"1,935,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,DUTCHESS,27,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",133,,133,,,,TOTAL,NOT SPECIFIED,133,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,DUTCHESS,27,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,9242000,,9242000,TOTAL,NOT SPECIFIED,"9,242,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,GREENE,39,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",45,,45,,,,TOTAL,NOT SPECIFIED,45,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,GREENE,39,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1822000,,1822000,TOTAL,NOT SPECIFIED,"1,822,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,ORANGE,71,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",123,,123,,,,TOTAL,NOT SPECIFIED,123,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,ORANGE,71,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,5670000,,5670000,TOTAL,NOT SPECIFIED,"5,670,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,PUTNAM,79,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",9,,9,,,,TOTAL,NOT SPECIFIED,9,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,PUTNAM,79,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,82000,,82000,TOTAL,NOT SPECIFIED,"82,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,ROCKLAND,87,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",9,,9,,,,TOTAL,NOT SPECIFIED,9,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,ROCKLAND,87,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,638000,,638000,TOTAL,NOT SPECIFIED,"638,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,SULLIVAN,105,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",93,,93,,,,TOTAL,NOT SPECIFIED,93,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,SULLIVAN,105,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,8861000,,8861000,TOTAL,NOT SPECIFIED,"8,861,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,ULSTER,111,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",112,,112,,,,TOTAL,NOT SPECIFIED,112,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,ULSTER,111,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,10656000,,10656000,TOTAL,NOT SPECIFIED,"10,656,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,WESTCHESTER,119,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",27,,27,,,,TOTAL,NOT SPECIFIED,27,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHEAST,90,WESTCHESTER,119,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1537000,,1537000,TOTAL,NOT SPECIFIED,"1,537,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,BROOME,7,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",66,,66,,,,TOTAL,NOT SPECIFIED,66,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,BROOME,7,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1500000,,1500000,TOTAL,NOT SPECIFIED,"1,500,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,CHEMUNG,15,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",32,,32,,,,TOTAL,NOT SPECIFIED,32,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,CHEMUNG,15,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,410000,,410000,TOTAL,NOT SPECIFIED,"410,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,SCHUYLER,97,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",71,,71,,,,TOTAL,NOT SPECIFIED,71,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,SCHUYLER,97,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,10816000,,10816000,TOTAL,NOT SPECIFIED,"10,816,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,TIOGA,107,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",56,,56,,,,TOTAL,NOT SPECIFIED,56,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,TIOGA,107,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,567000,,567000,TOTAL,NOT SPECIFIED,"567,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,TOMPKINS,109,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",86,,86,,,,TOTAL,NOT SPECIFIED,86,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHERN,80,TOMPKINS,109,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,2425000,,2425000,TOTAL,NOT SPECIFIED,"2,425,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHWEST,70,ALLEGANY,3,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",91,,91,,,,TOTAL,NOT SPECIFIED,91,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHWEST,70,ALLEGANY,3,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,888000,,888000,TOTAL,NOT SPECIFIED,"888,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHWEST,70,CATTARAUGUS,9,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",115,,115,,,,TOTAL,NOT SPECIFIED,115,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHWEST,70,CATTARAUGUS,9,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,2784000,,2784000,TOTAL,NOT SPECIFIED,"2,784,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHWEST,70,CHAUTAUQUA,13,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",187,,187,,,,TOTAL,NOT SPECIFIED,187,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHWEST,70,CHAUTAUQUA,13,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,2589000,,2589000,TOTAL,NOT SPECIFIED,"2,589,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHWEST,70,STEUBEN,101,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",145,,145,,,,TOTAL,NOT SPECIFIED,145,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,SOUTHWEST,70,STEUBEN,101,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,6132000,,6132000,TOTAL,NOT SPECIFIED,"6,132,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,WESTERN,40,ERIE,29,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",153,,153,,,,TOTAL,NOT SPECIFIED,153,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,WESTERN,40,ERIE,29,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,2615000,,2615000,TOTAL,NOT SPECIFIED,"2,615,000",(L)
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,WESTERN,40,GENESEE,37,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",69,,69,,,,TOTAL,NOT SPECIFIED,69,13.8
CENSUS,2022,YEAR,,COUNTY,NEW YORK,36,WESTERN,40,GENESEE,37,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,346000,,346000,TOTAL,NOT SPECIFIED,"346,000",(L)
